text,label
 Установить програмное обеспечение trueconf. ,5
"Настройка АРМ ОКР. С целью организации тестирования программных продуктов РеИнформ, прошу настроить АРМ сотрудников ОКР: · Маркин Евгений Николаевич · Киселев Сергей Владимирович",8
Не работает система АС(договор+ сводки). Не работает сводки и АС договор. Просьба помочь с решением. Заранее спасибо!,36
Не устанавливается python модуль для QGIS. !image-2022-08-24-15-34-45-121.png!,5
служба x2db. В связи с ошибками в очереди службы x2db сервера Infowatch TM (172.16.12.151) необходимо выполнить сбор диагностической информации в соответствии с инструкцией разработчика програмное обеспечение.Данные диагностики прошу предоставить в Сектор ЗИ.,36
"Отдел №2. Назначение ответственного за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. Для SmartStaff и учеток в ЕПС",13
"проблемы с почтой . при отправке возникают разного рода ошибки ...2. пыталась направить по внутренней почте. * *С уважением,**  * ***  * *Дрынновна Гузель Жигулевовна**  * *Инженер 1 категории**  * *отдела инженерно-конструкторских исследований**  * *ГБУ «Московский городской трест**  * *геолого-геодезических и картографических работ»**  * ***  * *тел*** *: +7 (930)100 66 99**  * *e-mail:**   +[ +gkhasanova@mggt.ru+|mailto:gkhasanova@mggt.ru] +  * **** ***  _____________________________________________",3
"Не могу выбрать документы для формирования каких либо документов, при запросе АС договор не отвечает и висит    _ _С уважением, Новаковская Жанна,__   _ _Планово-экономический отдел ГБУ Мосгоргеотрест__  _ _Тел: +7(499)257-09-11, внутр. 5416__  _ _E-mail:__ [jnovakovskaya@mggt.ru|mailto:jnovakovskaya@mggt.ru]  _ _Адрес: г. Москва, ул. Зорге, д. 1, офис 710__",8
ВКС 29.08.2022. ,36
FW: #600-267647: Программное обеспечение PrinCe (ПО CHC CGO 2.0 RTK),5
"Ответственный за получение паролей: Обухов Владимир Владимирович  Список сотрудников не имеющих почтовый ящик в домене  mggt.ru:  *1.*  *Староверов Ахтунг Вемиаминович* 2.  *Рубанов Дядькин Вадимович* – у него почтовый ящик есть, но он не помнит свой пароль и логин, так как работает в основном в поле. И не может посмотреть письмо с паролем и логином для ЕПС.",13
О восстановлении пароля,13
"Восстановить пароль ЕПС Фролов П,А.",13
"Проблема при загрузке проектов растр.. Снова возникает проблема при загрузке проектных растров. На этот раз, грузила 19 год по точке.",8
Задача в система документооборота выдается с ошибкой. ,18
Служебная записка № В - 3 - 10988/22 от 23.08.2022 (установка АРМ),28
"Не получается снять заявку.    С уважением, Елисеев Татушкин ГОЗиПД  * *ГБУ ""Мосгоргеотрест»** Эл.адрес: [teliseeva@mggt.ru|mailto:eeva@mggt.ru] тел. 8(495) 055 13 66 доб. 47 47",36
"Не открываются файлы PDF. У меня не открываются файлы PDF присланные от начальства.   _С уважением,_  _Наталья Поклонская_  _ГБУ МОСГОРГЕОТРЕСТ_",36
"Не работает система документооборота, исчезли все задачи.",18
"В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22, и в соответствии с приложенной служебной запиской, необходимо создать учетную запись на портале в ЕПС, почта @str.mos.ru., начальнику группы по делам ГО и ЧС Дюдону С.Е., в связи с тем, что при создании предыдущей учетной записи на @str.mos.ru. пароль для входа в почту выдан не был.  С уважением, С.У. Волонтёр,  Заместитель начальника группы по делам ГО и ЧС, Телефон: +7 (495) 111-5251 (раб.); 99-33, 54-77 (внутр.), Адрес: 124102, г.Москва, ул.Лавашкина, д.66а, оф.905",13
восстановить пароль. Прошу добавить в мой outlook учетную запись [KomlevaKS@str.mos.ru|mailto:KomlevaKS@str.mos.ru] и восстановить пароль.,3
Прошу открыть доступ к вкладке «Оперативный учет» в программе «1С Предприятие». На данный момент есть доступ к вкладкам «Органайзер» и «Учет ОС (МОЛ)»,15
система документооборота,18
Не могу отправить почту заказчику. Прошу связаться по телефону-+7(916)354-08-66 Благодарю,36
"7-ом окне группы выдачи ОДиПД не включается компьютер.Просим помочь!Спасибо!С уважением,Бурова И.Ю.ОДиПДТелефон: (495)530-20-22 доб.5651",10
В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей ЕПС:,36
восстановить пароль,3
пароль.,14
№ В - АУП - 11225/22 от 29.08.2022. В соответствии со служебной запиской № В - АУП - 11225/22 от 29.08.2022 ответственным от отдела № 3 назначен Пышкин Киркор Владимирович [kkruglov@MGGT.RU|mailto:klov@MGGT.RU] Просьба направить необходимую информацию указанному сотруднику на почту.,13
Нет подключения к почте,3
"Для корректной работы политик безопасности по контролю ""Конфиденциальной информации"", необходимо установить клиента IWT, который был ранее удален на АРМ DST00602",5
"Установка клиента IWT 7.1 на АРМ DST00602. Для корректной работы политик безопасности по контролю ""Конфиденциальной информации"", необходимо установить клиента IWT, который был ранее удален на АРМ DST00602",5
Перемещение монитора между работниками,8
"Принтер 7830_501. Не получается распечатать файл на принтере 7830_501. Коллеги говорят, что они сегодня печатали, все работало. «Устройства и принтеры» не открывается.",1
пароль для входа в база данных. Заблокировался вход в база данных. Не знаю какой пароль. Телефон Дарья,15
Служебная записка № В - 3 - 10988/22 от 23.08.2022 (установка АРМ). *установить второй монитор (нужен кабель HDMI – HDMI) к установленному АРМ.*,28
"Лист D1202 ресурса: МГГТ-Список слоев-Подземные коммуникации-Оперативный план ПК- Контрольная съемка, появляется ошибка - Рабочий набор содержит ошибки – при попытке удалить контур КГС через формуляр КГС. КС 13435-22, ИЧ 379-22. Можете помочь? Заранее спасибо.",36
"Ответственный от отдела №11 за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. Каменский Игорь Якобович. Прошу направить информацию в кротчайшее время   С уважением  Заместитель начальника отдела №11  Колосовский А.Э.  _ _ +7 (499) 752 90 31 доб. 12-45; 11-55__",36
Лавочкина 23,31
"Ошибка АС ""Договора"". *У меня есть заявка 9/6352=22. Я поставила ей статус в сводках АС договора «согласовано», присвоила номер тех.заключения, стала в микростанции на чертеж ставить штамп. И каждый раз вылезает вот такое сообщение.   Ничего не могу с этим сделать. В xsl файле по указанному пути много кода, разобраться не смогла что к чему и из-за чего ошибка.  Другие проекты нормально формируются, без всяких ошибок.",36
"оБ УМХЦЕВОХА ЪБРЙУЛХ  *ч - бхр - 11225/22 ПФ 29.08.2022*  ч ВХИЗБМФЕТЙЙ ПФУХФУФЧХАФ ТБВПФОЙЛЙ, ОЕ ЙНЕАЭЙЕ РПЮФПЧЩИ СЭЙЛПЧ Ч ДПНЕОЕ mggt.ru.  пФЧЕФУФЧЕООЩК ПФ ВХИЗБМФЕТЙЙ ЪБ РПМХЮЕОЙЕ РБТПМЕК ДМС ТБВПФОЙЛПЧ, ОЕ ЙНЕАЭЙИ РПЮФПЧЩИ СЭЙЛПЧ Ч ДПНЕОЕ mggt.ru. ОЕ ОБЪОБЮБЕФУС пФЧЕФУФЧЕООЩК ПФ ВХИЗБМФЕТЙЙ ЪБ РТЕДПУФБЧМЕОЙЕ УРЙУЛБ БЛФЙЧОЩИ ХЮЕФОЩИ ЪБРЙУЕК еру . – вБЪЩЛЙОБ с.б.    у ХЧБЦЕОЙЕН  оПЧБЛПЧУЛЙК ь.з. ъБН.ЗМ. ВХИЗБМФЕТБ звх «нПУЗПТЗЕПФТЕУФ» фЕМ.(ТБВ): (495) 530-20-22 (ЧОХФТ.5-308) бДТЕУ: 125040, З.нПУЛЧБ, мЕОЙОЗТбаза данныхУЛЙК РТПУРЕЛФ, Д.11",36
почтовый ящик str.mos.ru,0
единая почтовая система,13
